Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Cincinnati Financial Corp,CINF,0.0451,   107.17,-1.27,(-1.17%),
Ptc Inc,PTC,0.045091,   143.35,0.08,-0.06%,
Pultegroup Inc,PHM,0.044895,   75.85,-0.78,(-1.01%),
Cms Energy Corp,CMS,0.044792,   43.68,-13.3,(-23.39%),
Jacobs Solutions Inc,J,0.044661,   135.48,2.26,-1.69%,
Waters Corp,WAT,0.044153,   250.00,-23.4,(-8.56%),
Factset Research Systems Inc,FDS,0.043987,   429.51,0.33,-0.08%,
Enphase Energy Inc,ENPH,0.043953,   118.75,1.59,-1.36%,
Netapp Inc,NTAP,0.043951,   76.68,0.51,-0.67%,
Garmin Ltd,GRMN,0.04379,   109.75,2.7,-2.52%,
Marathon Oil Corp,MRO,0.043672,   27.18,0.28,-1.03%,
Everest Group Ltd,EG,0.043559,   453.00,68.63,-17.86%,
Ball Corp,BALL,0.04344,   51.30,-0.16,(-0.31%),
Walgreens Boots Alliance Inc,WBA,0.043192,   22.20,0.01,-0.03%,
Idex Corp,IEX,0.043137,   212.56,0.2,-0.09%,
Mid America Apartment Comm,MAA,0.042838,   137.50,1.84,-1.36%,
Las Vegas Sands Corp,LVS,0.042828,   48.23,-0.88,(-1.79%),
Akamai Technologies Inc,AKAM,0.042787,   102.55,-3.04,(-2.88%),
Hunt (Jb) Transprt Svcs Inc,JBHT,0.042568,   193.57,-0.77,(-0.40%),
Cf Industries Holdings Inc,CF,0.042492,   81.10,-0.16,(-0.20%),
Kellogg Co,K,0.042399,   59.88,-0.29,(-0.47%),
Cboe Global Markets Inc,CBOE,0.042173,   161.64,9.94,-6.55%,
Skyworks Solutions Inc,SWKS,0.042104,   99.52,1.02,-1.03%,
Tyler Technologies Inc,TYL,0.04195,   394.83,4.67,-1.20%,
Tyson Foods Inc Cl A,TSN,0.04187,   54.58,0.68,-1.25%,
Steel Dynamics Inc,STLD,0.041229,   98.82,0.71,-0.72%,
Huntington Bancshares Inc,HBAN,0.04107,   10.64,0.05,-0.47%,
Omnicom Group,OMC,0.041025,   77.49,0.05,-0.07%,
Carnival Corp,CCL,0.040923,   15.15,0.11,-0.74%,
