Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:27:19.443 GMT+0300,4511.684,4511.182,0.0006,0.0006
04.09.2023 01:27:20.704 GMT+0300,4511.753,4511.284000000001,0.0006,0.0006
04.09.2023 01:27:22.889 GMT+0300,4511.6900000000005,4511.182,0.0006,0.0006
04.09.2023 01:28:40.336 GMT+0300,4511.9490000000005,4511.423,0.0006,0.0006
04.09.2023 01:29:12.960 GMT+0300,4512.178,4511.679,0.0006,0.0006
04.09.2023 01:30:01.161 GMT+0300,4511.9490000000005,4511.411,0.0006,0.0006
04.09.2023 01:30:51.508 GMT+0300,4512.181,4511.727,0.0006,0.0006
04.09.2023 01:30:57.804 GMT+0300,4512.048,4511.54,0.0006,0.0006
04.09.2023 01:30:59.318 GMT+0300,4511.883,4511.42,0.0006,0.0006
04.09.2023 01:30:59.665 GMT+0300,4512.196,4511.673,0.0006,0.0006
04.09.2023 01:32:34.996 GMT+0300,4511.9490000000005,4511.477,0.0006,0.0006
04.09.2023 01:32:36.243 GMT+0300,4512.06,4511.531,0.0006,0.0006
04.09.2023 01:32:37.451 GMT+0300,4512.1990000000005,4511.667,0.0006,0.0006
04.09.2023 01:32:49.223 GMT+0300,4511.883,4511.414000000001,0.0006,0.0006
04.09.2023 01:33:18.574 GMT+0300,4512.1990000000005,4511.6759999999995,0.0006,0.0006
04.09.2023 01:33:23.194 GMT+0300,4512.304,4511.802000000001,0.0006,0.0006
